CGS	;CGS
Universities and Research Commissionate of the Generalitat de Catalunya	;Universities and Research Commissionate of the Generalitat de Catalunya
Vitor Santos Costa by Funda cao para a Ciencia e Tecnologia	;Vitor Santos Costa by Funda cao para a Ciencia e Tecnologia
University of Guanajuato-DINPO	;University of Guanajuato-DINPO
Spanish Project	;Spanish Project
Calouste Gulbenkian Foundation	;Calouste Gulbenkian Foundation
Department of Science and Technology Government of India	;Department of Science and Technology Government of India
Italian Ministry of Scientific Research	;Italian Ministry of Scientific Research
Knowledge Innovation Program of the Chinese Academy of Sciences	;Knowledge Innovation Program of the Chinese Academy of Sciences
University of Malaya Centre for Ionic Liquids  UMCiL	;University of Malaya Centre for Ionic Liquids  UMCiL
iDEaS	;iDEaS
National 973 Project of China	;National 973 Project of China
U S  Army Research Lab	;U S  Army Research Lab
Fundamental Research Funds for Central Universities of China	;Fundamental Research Funds for Central Universities of China
BIOTECHNOLOGIES	;National Research Agency  Agence National pour la Recherche   BIOTECHNOLOGIES  program
AGH	;AGH - University of Science and Technology Faculty of Geology Geophysics and Environmental Protection;AGH grant;AGH University of Science and Technology;AGH UST
National Science of Council in Taiwan	;National Science of Council in Taiwan
EU research project GA	;EU research project GA
United States National Institutes of Health	;United States National Institutes of Health
COFAA	;Instituto Politecnico Nacional  Secretaria Academica COFAA grant SIP CIC CIDETEC
CONTINT	;Agence Nationale de la Reserche  France  program CONTINT Science and Technology Committee of Information and Communication
Shanghai University Material Genetic Engineering Institute	;Shanghai University Material Genetic Engineering Institute
KIGAM	;Basic Research Project of the Korea Institute of Geo-science and Mineral Resources  KIGAM
tier-1 research grant of Singapore Management University	;tier-1 research grant of Singapore Management University
School of Film and Television Art Technology of Shanghai University	;School of Film and Television Art Technology of Shanghai University
Singularity Institute	;Singularity Institute
Beijing Education Committee Fund	;Beijing Education Committee Fund
INVITE	;INVITE
Spanish Ministry for Economy and Competitiveness	;Spanish Ministry for Economy and Competitiveness
Secretaria Relaciones Exteriores of Mexico	;Secretaria Relaciones Exteriores of Mexico
Ministry of Science Technology and Innovation	;Ministry of Science Technology and Innovation
Val d'oise county council	;Val d'oise county council
ESRC/EPSRC/DTUPACCIT	;ESRC/EPSRC/DTUPACCIT
REUNI	;REUNI
Foundation of Shenzhen Government	;Foundation of Shenzhen Government
Amgen	;Amgen
Eurostars EU	;Eurostars EU
Jamia Millia Islamia New Delhi  India  University of KwaZulu-Natal Durban  South Africa	;Jamia Millia Islamia New Delhi  India  University of KwaZulu-Natal Durban  South Africa
Malaysian Ministry of Science Technology and Innovation under Science Fund	;Malaysian Ministry of Science Technology and Innovation under Science Fund
Okawa Foundation	;Okawa Foundation
AHFMR	;Alberta Health Foundation for Medical Research  AHFMR summer research award
National Basic Research Project	;National Basic Research Project
National Cancer Institute	;National Cancer Institute
State and Federal Funds allocated to Georgia Agricultural Experiment Stations Hatch	;State and Federal Funds allocated to Georgia Agricultural Experiment Stations Hatch
Nanyang Technological University	;Nanyang Technological University
University of Hong Kong	;University of Hong Kong
TWAS	;TWAS
U S  Department of Energy Office of Science Basic Energy Sciences	;U S  Department of Energy Office of Science Basic Energy Sciences
Regroupement Strategique en Microsystemes du Quebec ReSMiQ	;Regroupement Strategique en Microsystemes du Quebec ReSMiQ
VKR	;VKR Centre of Excellence
IMPULSE	;IMPULSE project of AIST
US Army Research Laboratory	;US Army Research Laboratory
Indiana University-Bloomington Cognitive Science Department's Summer Research Grant	;Indiana University-Bloomington Cognitive Science Department's Summer Research Grant
Ministry of Education and Science Spain	;Ministry of Education and Science Spain
KFUPM	;Center for Clean Water and Clean Energy at King Fahd University of Petroleum & Minerals  KFUPM;KFUPM Deanship of Scientific Research grant;King Fahd University of Petroleum & Minerals  KFUPM;King Fahd University of Petroleum and Minerals  KFUPM
Ministry of Construction & Transportation of the Korean government	;Ministry of Construction & Transportation of the Korean government
National Science Foundation of China	;National Science Foundation of China
ForEAdapt	;ForEAdapt
Serbian Ministry of Science	;Serbian Ministry of Science
Bulgarian National Science Fund	;Bulgarian National Science Fund
National Natural Science Foundation of China	;National Natural Science Foundation of China
Department of Systems Medicine and Bioengineering	;Department of Systems Medicine and Bioengineering
CICYT	;CICYT  Spain;CICYT Spanish Committee;Ministry of Science and Technology of Spain through CICYT Project;Spanish CICYT;Spanish Government through CICYT;Spanish Government through the CICYT
program of Renewable Energy Research - Natural Sciences and Engineering Research Council of Canada	;program of Renewable Energy Research - Natural Sciences and Engineering Research Council of Canada
MIUR-PRIN	;Italian project MIUR-PRIN
EGAT	;Evergreen Aviation Technologies  EGAT  of APS
Department of Science and Technology New Delhi India	;Department of Science and Technology New Delhi India
Natural Science Foundation of PR of China	;Natural Science Foundation of PR of China
Instituto Tecnologico de Leon Tecnologico Nacional de Mexico	;Instituto Tecnologico de Leon Tecnologico Nacional de Mexico
Research Grant Council of the Hong Kong Special Administration Region China	;Research Grant Council of the Hong Kong Special Administration Region China
Russian Leading Scientific School	;Russian Leading Scientific School
European Research Council under the European Community	;European Research Council under the European Community
ITRI	;Iran Transformer Research Institute  ITRI
National Trauma Institute	;National Trauma Institute
--ESE	;European Union  European Social Fund --ESE
national science & technology program in the 11th five-year plan period  Research on Techniques of Wetland Resources Monitoring and Evaluating	;national science & technology program in the 11th five-year plan period  Research on Techniques of Wetland Resources Monitoring and Evaluating
NA Software Ltd	;NA Software Ltd
Research Foundation Flanders	;Research Foundation Flanders
ENGESOLDA	;Federal University of Ceara  Welding Engineering Laboratory  ENGESOLDA
Natural Science Foundation Project of Jiangxi Province	;Natural Science Foundation Project of Jiangxi Province
Ministry of Education Research and Innovation Romania	;Ministry of Education Research and Innovation Romania
Australia Research Council	;Australia Research Council
Regional Government of Andalucia	;Regional Government of Andalucia
Indiana University	;Indiana University
Federal Ministry of Economy Family and Youth	;Federal Ministry of Economy Family and Youth
Institute of Postgraduate Studies University Sains Malaysia	;Institute of Postgraduate Studies University Sains Malaysia
CITOPSY	;CITOPSY
ODCDC	;ODCDC CDC HHS
ePolicy EU project	;ePolicy EU project
U S  Office of Naval Research	;U S  Office of Naval Research
Gatsby Charitable foundation	;Gatsby Charitable foundation
Czech Science Foundation	;Czech Science Foundation
Gilead	;Gilead
Spanish Science and Innovation Ministry	;Spanish Science and Innovation Ministry
Kansas Technology Enterprise Corporation	;Kansas Technology Enterprise Corporation
Key Science and Technology Project of Henan Province China	;Key Science and Technology Project of Henan Province China
Shiraz University	;Shiraz University
Nephrologic Foundation of Cordoba  Junta de Andalucia	;Nephrologic Foundation of Cordoba  Junta de Andalucia
Instituto Tecnologico de Morelia	;Instituto Tecnologico de Morelia
Spanish Ministry of Industry	;Spanish Ministry of Industry
European project Kconnect	;European project Kconnect
Technical University of Sofia	;Technical University of Sofia
FPI	;FPI Program
CNPq  Conselho Nacional de Desenvolvimento Cientfico e Tecnologico - a Brazilian Research Foundation	;CNPq  Conselho Nacional de Desenvolvimento Cientfico e Tecnologico - a Brazilian Research Foundation
U S  Department of Energy Office of Science	;U S  Department of Energy Office of Science
Natural Science Foundation of Jiangsu Province	;Natural Science Foundation of Jiangsu Province
Introducing Advanced Technology Program  948 Program	;Introducing Advanced Technology Program  948 Program
Duel Company - Lazio Innova the financing agency of the Italian Latium Region	;Duel Company - Lazio Innova the financing agency of the Italian Latium Region
Roberto Rocca Foundation	;Roberto Rocca Foundation
Korean Ministry of Education Science and Technology	;Korean Ministry of Education Science and Technology
U  S  Department of Energy	;U  S  Department of Energy
IT Fund of Information Industrial Department of China	;IT Fund of Information Industrial Department of China
U S  Geological Survey	;U S  Geological Survey
Laval University	;Laval University
National Taiwan Ocean University	;National Taiwan Ocean University
IAEA	;IAEA in PRC
Education Fund of Liaoning Province	;Education Fund of Liaoning Province
Western Parana State University  Unioeste	;Western Parana State University  Unioeste
National Institute of Allergy and Infectious Diseases of the National Institutes of Health	;National Institute of Allergy and Infectious Diseases of the National Institutes of Health
MINECO	;MINECO;MINECO Spain;Project MINECO;Spanish Government under research project MINECO;Spanish MINECO;Spanish Ministry of Economy and Competitiveness   MINECO;Spanish Ministry of Economy and Competitiveness  MINECO
Youth Scientific Research Foundation of Central South University of Forestry Technology	;Youth Scientific Research Foundation of Central South University of Forestry Technology
Special Funds of Guangxi Distinguished Experts Construction Engineering	;Special Funds of Guangxi Distinguished Experts Construction Engineering
PUCP	;Pontificia Universidad Catolica del Peru  PUCP  PhD in Engineering Department
John S  Dunn Research Foundation	;John S  Dunn Research Foundation
Natural Science Foundation of Tianjin	;Natural Science Foundation of Tianjin
Key Project of Chinese National Programs for Fundamental Research and Development  973 program	;Key Project of Chinese National Programs for Fundamental Research and Development  973 program
Ministerio de Industria Turismo y Comercio del Gobierno de Espana	;Ministerio de Industria Turismo y Comercio del Gobierno de Espana
Ministry of Regional Municipalities and Water Resources of the Sultanate of Oman	;Ministry of Regional Municipalities and Water Resources of the Sultanate of Oman
Council of the President of the Russian Federation	;Council of the President of the Russian Federation
CNPq  Conselho Nacional de Desenvolvimento Cientifico e Tecnologico	;CNPq  Conselho Nacional de Desenvolvimento Cientifico e Tecnologico
University of Cantabria  Santander Spain	;University of Cantabria  Santander Spain
HEC	;Higher Education Commission  HEC  Pakistan under the NRPU programme
China Scholarship Council	;China Scholarship Council
Natural Science Foundation of China	;Natural Science Foundation of China
Enersul - Energias do Brasil S A  from Brazil through its research and development program	;Enersul - Energias do Brasil S A  from Brazil through its research and development program
TU Ilmenau Germany	;TU Ilmenau Germany
PLC	;Department of Trade and Industry under the Foresight' Link' programme in conjunction with partners Stoves PLC
Ontario Centers of Excellence	;Ontario Centers of Excellence
Center for the Study of Language and Information at Stanford University	;Center for the Study of Language and Information at Stanford University
University of Applied Sciences of Berne	;University of Applied Sciences of Berne
Slovene	;Slovene
City of Montreal  Quebec Canada	;City of Montreal  Quebec Canada
Malaysian Government Research Grant	;Malaysian Government Research Grant
Ohio Space Grant Consortium Fellowship	;Ohio Space Grant Consortium Fellowship
Colciencias	;Colciencias
Secretaria General de Ciencia y Tecnologia - Universidad Nacional del Sur	;Secretaria General de Ciencia y Tecnologia - Universidad Nacional del Sur
ARES	;ARES
Imperial College London	;Imperial College London
LCAOS	;FP7-Health Program under the LCAOS
GEO-DAS-BC	;GEO-DAS-BC project  Ministerio de Economia y Competitividad and FondoEuropeo de Desarrollo Regional FEDER
research and development council of the county Sodra Alvsborg	;research and development council of the county Sodra Alvsborg
Government of the Principality of Asturias through Severo Ochoa program	;Government of the Principality of Asturias through Severo Ochoa program
University of Macau	;University of Macau
Ministry of Higher Education	;Ministry of Higher Education
NARSAD	;NARSAD Young Investigator
Gonzalez Soriano	;Gonzalez Soriano
National Institute for Health Research Biomedical Research Centre	;National Institute for Health Research Biomedical Research Centre
Ciba Specialty Chemicals Switzerland	;Ciba Specialty Chemicals Switzerland
Centre National de la Recherche Scientifique	;Centre National de la Recherche Scientifique
Australian Research Council under the Discovery	;Australian Research Council under the Discovery
FABRIC	;UK Technology Strategy Board FABRIC project
Ministry of Science and Technology Taiwan	;Ministry of Science and Technology Taiwan
Scientific Research Project Office of Selcuk University Turkey	;Scientific Research Project Office of Selcuk University Turkey
University of Granada	;University of Granada
ORCHID	;ORCHID
NASA's Earth Science Technology Office	;NASA's Earth Science Technology Office
Siemens	;Siemens
Stanford IT Services	;Stanford IT Services
PRIN'06	;PRIN'06
National Science Foundation as part of the Digging into Data initiative	;National Science Foundation as part of the Digging into Data initiative
Smart Engineering Research Group University Kebangsaan Malaysia	;Smart Engineering Research Group University Kebangsaan Malaysia
Office Federal de l'Education et de la Science	;Office Federal de l'Education et de la Science
Environmental Engineering Program at the American University in Cairo	;Environmental Engineering Program at the American University in Cairo
CAAS	;CAAS Agricultural Science and Technology Innovation Program
Rocket Boiler Co  Ltd  Japan	;Rocket Boiler Co  Ltd  Japan
German federal Environmental Foundation	;German federal Environmental Foundation
Special research program of Shaanxi Provincial Department of Education	;Special research program of Shaanxi Provincial Department of Education
RFBR	;RFBR
MARCO	;MARCO  via FENA Center
Direccion General de Investigacion of the Spanish Ministry of Science and Innovation	;Direccion General de Investigacion of the Spanish Ministry of Science and Innovation
Dunarea de Jos University Galati Romania	;Dunarea de Jos University Galati Romania
European Commission Safer Internet Programme project iCOP  Identifying and Catching Originators in Peer-to-Peer Networks	;European Commission Safer Internet Programme project iCOP  Identifying and Catching Originators in Peer-to-Peer Networks
Monash University Sunway Campus Ministry of Science Technology and Innovation Malaysia	;Monash University Sunway Campus Ministry of Science Technology and Innovation Malaysia
JCCM	;JCCM  Junta de Comunidades de Castilla-La Mancha
Balikesir University	;Balikesir University
Japanese Ministry of Education Science Sports and Culture	;Japanese Ministry of Education Science Sports and Culture
KOREA	;National Research Foundation of KOREA
MFDD	;MFDD
W  M  Keck Foundation	;W  M  Keck Foundation
NPS	;NPS Consortium for Robotics and Unmanned Systems Education and Research  CRUSER
Ministry of Science and Higher Education Republic of Poland	;Ministry of Science and Higher Education Republic of Poland
ITS	;ITS Multi-Campus Research Program and Initiative on Sustainable Transportation
SIMILAR	;European Community of the SIMILAR Network of Excellence
Indian Institute of Technology Delhi	;Indian Institute of Technology Delhi
Qualcomm Foundation	;Qualcomm Foundation
Project of National Natural Science Foundation of China	;Project of National Natural Science Foundation of China
DARPA-IPTO	;DARPA-IPTO
Junta de Andalucia	;Junta de Andalucia
VTT	;VTT
National Key Basic Research and Development  973  Program of China	;National Key Basic Research and Development  973  Program of China
Spanish Council for Science and Innovation	;Spanish Council for Science and Innovation
Early Researcher Award from Ministry of Research and Innovation of Ontario	;Early Researcher Award from Ministry of Research and Innovation of Ontario
UPM	;Department of Mechanical and Manufacturing Engineering in University Putra Malaysia  UPM;UPM
University of Southampton UK	;University of Southampton UK
German Federal Ministry for Economic Affairs and Energy	;German Federal Ministry for Economic Affairs and Energy
University of La Rioja and Banco Santander	;University of La Rioja and Banco Santander
Min  de Educacion y Ciencia Spain	;Min  de Educacion y Ciencia Spain
Jepson Fellowship - the University of Mary Washington	;Jepson Fellowship - the University of Mary Washington
Australian Research Council's Centres of Excellence	;Australian Research Council's Centres of Excellence
Chinese National Engineering Laboratory for Information Content Analysis Technology	;Chinese National Engineering Laboratory for Information Content Analysis Technology
Ibero-American Network of the Nano-Bio-Info-Cogno Convergent Technologies Ibero-NBIC Network	;Ibero-American Network of the Nano-Bio-Info-Cogno Convergent Technologies Ibero-NBIC Network
Cooperative Research Centre for Spatial Information - Australian Commonwealth's Cooperative Research Centres Programme	;Cooperative Research Centre for Spatial Information - Australian Commonwealth's Cooperative Research Centres Programme
Scientific Research Fund of Yunnan Education Department	;Scientific Research Fund of Yunnan Education Department
Ministry of Science and technology Republic of Srpska Government	;Ministry of Science and technology Republic of Srpska Government
Department of Defense Breast Cancer Research Program Predoctoral Traineeship	;Department of Defense Breast Cancer Research Program Predoctoral Traineeship
FAPESB/CNPq	;FAPESB/CNPq
Singapore Ministry of Education Academic Research Fund	;Singapore Ministry of Education Academic Research Fund
EADS	;EADS Germany
NEI	;NEI NIH HHS
LLC	;Atigeo LLC
Salman Bin Abdulaziz University via the Deanship for Scientific Research International partnership Programme	;Salman Bin Abdulaziz University via the Deanship for Scientific Research International partnership Programme
Institute for Cyber Enabled Research  iCER	;Institute for Cyber Enabled Research  iCER
CMM	;Center for Mathematical Modeling  CMM  Valpara so Center for Science and Technology  CCTVAL
Key National Natural Science Foundation of China	;Key National Natural Science Foundation of China
Alberta Ingenuity Centre for Machine Learning	;Alberta Ingenuity Centre for Machine Learning
BP America Inc	;BP America Inc
Robert Bosch Stiftung Stuttgart Germany	;Robert Bosch Stiftung Stuttgart Germany
FWF	;Austrian Science Fund  FWF;Austrian Science Fund  FWF  through the SFB FoQuS F;Austrian Science Fund FWF;FWF
GTI	;GTI
Ministry of Higher Education of Malaysia and University of Malaya	;Ministry of Higher Education of Malaysia and University of Malaya
Youth Foundation of Jilin Science and Technology department china	;Youth Foundation of Jilin Science and Technology department china
University of Derby U K	;University of Derby U K
Polish Science Centre	;Polish Science Centre
British Telecom	;British Telecom
Sloan Research Fellowship	;Sloan Research Fellowship
FAPESP/Brazil	;FAPESP/Brazil
AICML	;AICML
LASIGE	;LASIGE
Universiti Malaysia Perlis	;Universiti Malaysia Perlis
Faculty of Information and Communication Technology Universiti Tunku Abdul Rahman Malaysia	;Faculty of Information and Communication Technology Universiti Tunku Abdul Rahman Malaysia
National Science Council at Taiwan	;National Science Council at Taiwan
CISR	;Centre for Intelligent Systems Research  CISR  at Deakin University
AMANDE	;AMANDE project of the French National Research Agency
AVANZA	;Ministry of Industry Tourism and Trade  Spain  AVANZA PLAN-Digital Citizen Subprogram  PT  NEUROLEARNING Grant;Spanish Ministerio de Industria Turismo y Comercio under the  AVANZA
Ministero per l'Universita e la Ricerca Scientifica e Tecnologica  Rome Italy	;Ministero per l'Universita e la Ricerca Scientifica e Tecnologica  Rome Italy
National Science Foundation for Distinguished Young Scholars of China	;National Science Foundation for Distinguished Young Scholars of China
Commonwealth Scholarship Commission	;Commonwealth Scholarship Commission
Canada Research Chair Program	;Canada Research Chair Program
National Aeronautics and Space Administration	;National Aeronautics and Space Administration
Spanish Ministerio de Economia y Competitividad/FEDER	;Spanish Ministerio de Economia y Competitividad/FEDER
985 Project of Ministration of Education and Superiority Discipline Construction Project of Jiangsu Province	;985 Project of Ministration of Education and Superiority Discipline Construction Project of Jiangsu Province
National Nature Science Foundation of China	;National Nature Science Foundation of China
KIAT	;Korea Institute for Advancement in Technology  KIAT
Gansu Provincial Sci  & Tech  Department	;Gansu Provincial Sci  & Tech  Department
City University of Hong Kong	;City University of Hong Kong
National Science Fund of Bulgaria Project for Junior Scientists	;National Science Fund of Bulgaria Project for Junior Scientists
US Government	;US Government
CTC	;CTC  Collectivite Territoriale de Corse
EC  Marie Curie	;EC  Marie Curie
MOE	;Malaysian Ministry of Education  MOE;Malaysian Ministry of Education  MOE  under Fundamental Research Grant Scheme;Ministry of Education  MOE;Singapore MOE Academic tier-1 research grant;Singapore MOE AcRF
Natural Science Foundation of Hunan Province	;Natural Science Foundation of Hunan Province
cluster projects in the Engineering Research Institute College of Engineering of Seoul National University	;cluster projects in the Engineering Research Institute College of Engineering of Seoul National University
Dar Al-Handassah  Shair & Partners  Research Fund	;Dar Al-Handassah  Shair & Partners  Research Fund
University of Malaya	;University of Malaya
Israeli Chief Scientist Research Grant inside the European Eureka Celtic project HuSIMS	;Israeli Chief Scientist Research Grant inside the European Eureka Celtic project HuSIMS
EU-FET	;EU-FET grant EVOBLISS project
da Ciencia e da Tecnologia Portugal	;da Ciencia e da Tecnologia Portugal
Universiti Sains Malaysia	;Universiti Sains Malaysia
Karyopharm	;Karyopharm
ERC	;ERC;ERC Starting Grant MultiJEDI;ERC under the European Community;European Research Council  ERC
Cotton Research and Development Corporation	;Cotton Research and Development Corporation
UTFSM	;UTFSM
State Key Laboratory of Robotics and System	;State Key Laboratory of Robotics and System
FedEx Express	;FedEx Express
RANNIS	;Icelandic Centre for Research  RANNIS;RANNIS
Ministry of Education and Research	;Ministry of Education and Research
University of Bradford	;University of Bradford
NSERC-CIHR	;NSERC-CIHR
Regione Piemonte	;Regione Piemonte
Artificial Intelligence in Alternative Conflict Resolution	;Artificial Intelligence in Alternative Conflict Resolution
American Heart Association	;American Heart Association
China university of geosciences  Beijing	;China university of geosciences  Beijing
Universidad Nacional del Litoral	;Universidad Nacional del Litoral
Office of Naval Research	;Office of Naval Research
NGA	;NGA
Doctor Foundation of Henan University of Science and Technology	;Doctor Foundation of Henan University of Science and Technology
Fundation of State Key Laboratory of Robotics	;Fundation of State Key Laboratory of Robotics
Blizzard Entertainment	;Blizzard Entertainment
Ministry of Foreign and European Affairs	;Ministry of Foreign and European Affairs
TBU	;Internal Grant Agency at TBU in Zlin
Republicof Bulgaria	;Republicof Bulgaria
National Council of Technological and Scientific Development  CNPq	;National Council of Technological and Scientific Development  CNPq
Spanish Ministry for Industry Tourism and Commerce	;Spanish Ministry for Industry Tourism and Commerce
SELEX	;SELEX Galileo  UK
CNCSIS-UEFISCSU	;CNCSIS-UEFISCSU
VLIR	;VLIR  Flemish Interuniversity Council Belgium;VLIR  Vlaamse InterUniversitaire Raad Flemish Interuniversity Council Belgium
National Institute of Mental Health	;National Institute of Mental Health
Mansoura University Egypt	;Mansoura University Egypt
PROMEP	;PROMEP;PROMEP Program of SEP
Federal Ministry of Economy and Labor Austria	;Federal Ministry of Economy and Labor Austria
Polish National Science Center	;Polish National Science Center
Polish Scientific Committee	;Polish Scientific Committee
Radar Networks Inc	;Radar Networks Inc
GAIA	;Korea Ministry of Environment via the GAIA project
scientific research	;scientific research
Council of Agriculture Taiwan R O C	;Council of Agriculture Taiwan R O C
Marie Curie Research Training Network	;Marie Curie Research Training Network
GEOIDE	;Canadian Geomatics for Informed Decisions  GEOIDE  Network Centers of Excellence  NCE;Geomatics for Informed Decision  GEOIDE  Network Centers of Excellence
Endeavour Award	;Endeavour Award
EEDSM	;EEDSM Hub
Tshwane University of Technology	;Tshwane University of Technology
Ministry of Science Republic of Serbia	;Ministry of Science Republic of Serbia
Swiss National Science Foundation	;Swiss National Science Foundation
Soongsil University Research	;Soongsil University Research
Boeing Corporation	;Boeing Corporation
Shanghai Natural Science Foundation	;Shanghai Natural Science Foundation
Zhejiang Province Key Science and Technology Plan	;Zhejiang Province Key Science and Technology Plan
BBSRC	;Biotechnology and Biological Sciences Research Council  BBSRC  of the UK;UK Biotechnology and Biological Sciences Research Council  BBSRC
UNER	;Universidad Nacional de Entre Rios  UNER
MCTES	;MCTES
CNPq  Brazilian Research Council	;CNPq  Brazilian Research Council
Academic Research Fund  AcRF	;Academic Research Fund  AcRF
EEE	;EEE project
National Research University Project	;National Research University Project
Leiden University	;Leiden University
CFI	;Canada Foundation for Innovation  CFI
CR-UK	;CR-UK
MELOMICS	;MELOMICS project from the Spanish Ministerio de Ciencia e Innovacion
Fundamental Research Funds for the Central Universities of China	;Fundamental Research Funds for the Central Universities of China
UNESCO	;National Man & Biosphere Commission for UNESCO;UNESCO
2010 Computing Innovation Fellowship	;2010 Computing Innovation Fellowship
MIWFT	;Ministry for Innovation Science Research and Technology  MIWFT
Spanish Government project Cognitio	;Spanish Government project Cognitio
Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  Brazil	;Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  Brazil
Sichuan university	;Sichuan university
Institute of Telecommunications  IT-Covilha	;Institute of Telecommunications  IT-Covilha
National Science Centre  Poland	;National Science Centre  Poland
NET	;NET Institute
FP6	;Marie Curie FP6 Research Training Programme
National Centre for Research and Development	;National Centre for Research and Development
Region of Lazio	;Region of Lazio
Moves International Fitness Mammoth Lakes CA	;Moves International Fitness Mammoth Lakes CA
METI	;Ministry of Economy Trade and Industry  METI  Japan
Hi-Tech Research and Development  863  Program of China	;Hi-Tech Research and Development  863  Program of China
MITYC	;Spanish Ministry of Industry  MITYC;Spanish Ministry of Industry MITYC
University of Guanajuato	;University of Guanajuato
Natural Sciences and Engineering Research Council	;Natural Sciences and Engineering Research Council
PAWS	;Deutsche Forschungsgemeinschaft project PAWS
Centre for Ionic Liquids  UMCiL  University of Malaya	;Centre for Ionic Liquids  UMCiL  University of Malaya
Philips Healthcare	;Philips Healthcare
George Mason University Summer Research Funding	;George Mason University Summer Research Funding
OGS	;Ontario Graduate Scholarship  OGS;Ontario Graduate Scholarship  OGS  program
Ohio Department of Transportation	;Ohio Department of Transportation
MCT/CNPq - Brazil	;MCT/CNPq - Brazil
LaMCoS  INSA-Lyon	;LaMCoS  INSA-Lyon
University of Exeter	;University of Exeter
Scientific Research Fund of Guangxi Zhuang Autonomous Region's Education Department of China	;Scientific Research Fund of Guangxi Zhuang Autonomous Region's Education Department of China
Interuniversity Attraction Poles Programme	;Interuniversity Attraction Poles Programme
National Research Foundation	;National Research Foundation
NINDS/NIH	;NINDS/NIH
Galician University System of Xunta de Galicia	;Galician University System of Xunta de Galicia
CNR	;CNR grant
Research Grants Council of Hong Kong	;Research Grants Council of Hong Kong
WWTF	;Vienna Science and Technology Fund  WWTF
Regione Lombardia ICT-Metadristretti Action	;Regione Lombardia ICT-Metadristretti Action
Faculty of Engineering	;Faculty of Engineering
Science Foundation Ireland	;Science Foundation Ireland
NEW	;Charity fund of rendering of assistance to scientists  NEW IDEA''
SOFA	;University of North Dakota SOFA
Polish Government	;Polish Government
National Natural Science Fund of China	;National Natural Science Fund of China
HERMES-SMART	;HERMES-SMART DRIVER Project within the Spanish  Plan Nacional de I+D+I  - Spanish Ministerio de Economia y Competitividad;HERMES-SMART DRIVER project within the Spanish  Plan Nacional de I+D+I  under the Spanish Ministerio de Economia y Competitividad
University of Warwick Department of Chemistry	;University of Warwick Department of Chemistry
U S  Navy	;U S  Navy
China Fundamental Research Funds for the Central Universities	;China Fundamental Research Funds for the Central Universities
Port Authority of Ferrol  Spain	;Port Authority of Ferrol  Spain
David Filo and Jerry Yang Faculty Scholar Award	;David Filo and Jerry Yang Faculty Scholar Award
National Science Council of Taiwan R O C	;National Science Council of Taiwan R O C
Fundacao de Amparo a Pesquisa do Estado de Minas Gerais	;Fundacao de Amparo a Pesquisa do Estado de Minas Gerais
Alexander von Humboldt Foundation	;Alexander von Humboldt Foundation
SRT	;Tsinghua SRT Project
Ph  D  Fund of Hebei Province	;Ph  D  Fund of Hebei Province
Australian Centre of Excellence for Risk Analysis	;Australian Centre of Excellence for Risk Analysis
AComIn	;AComIn
IMG4	;IMG4 consortium under Israel Ministry of Trade and Industry
EU project MindRACES	;EU project MindRACES
Civil Aviation Authority and Bristow Helicopters	;Civil Aviation Authority and Bristow Helicopters
IU-ATC	;IU-ATC
Rose Hills Foundation	;Rose Hills Foundation
Systemically integrated environment for designing intelligent models and modeling modern electronic business	;Systemically integrated environment for designing intelligent models and modeling modern electronic business
SEAM4US	;SEAM4US project  Sustainable Energy Management for Underground Stations
IBM	;IBM;IBM Canada Ltd;IBM Microelectronics;IBM Ph D  Fellowship
ICIST	;ICIST Research Institute
Malaysian Ministry of Higher Education	;Malaysian Ministry of Higher Education
ECTRIMS-MAGNIMS	;ECTRIMS-MAGNIMS research fellowship
Creadapt	;Creadapt
Nordeas Norrlandsstiftelse	;Nordeas Norrlandsstiftelse
CRUK	;CRUK
EPSRC/IMRC	;EPSRC/IMRC
Laurel Wilkening Faculty Innovation award	;Laurel Wilkening Faculty Innovation award
PETROBRAS	;PETROBRAS  REDE SIGER
IPTO	;Independent Power Transmission Operator  IPTO 's top management
Flemish Fund for Scientific Research	;Flemish Fund for Scientific Research
TU Wien	;TU Wien
U K  Engineering and Physical Sciences Research Council	;U K  Engineering and Physical Sciences Research Council
Natural Science Foundation	;Natural Science Foundation
National Fund for Scientific Research	;National Fund for Scientific Research
Moritz Gobelbecker	;Moritz Gobelbecker
FEDER/COMPETE	;European Union Funds  FEDER/COMPETE - Operational Competitiveness Programme
Fonds pour la formation a la Recherche dans l'Industrie et dans l'Agriculture	;Fonds pour la formation a la Recherche dans l'Industrie et dans l'Agriculture
Universidad de Alcala	;Universidad de Alcala
Ossur Inc	;Ossur Inc
Distinguished Young Scholar in Beijing Award - China	;Distinguished Young Scholar in Beijing Award - China
Universiti Teknikal Malaysia Melaka	;Universiti Teknikal Malaysia Melaka
University of Pune India	;University of Pune India
The Hong Kong Polytechnic University	;The Hong Kong Polytechnic University
Region Rhone-Alpes	;Region Rhone-Alpes
Spain-FEDER	;Spain-FEDER
eHealth in Motion Ltd	;eHealth in Motion Ltd
U S  Department of Transportation	;U S  Department of Transportation
European Social Fund through project FuturICT hu	;European Social Fund through project FuturICT hu
Boeing Research Technology	;Boeing Research Technology
Independent innovation and achievements transformation special in shandong province	;Independent innovation and achievements transformation special in shandong province
