111 Project	111 Project;
Planevo project	Department of Trade and Industry under the Foresight' Link' programme in conjunction with partners Stoves PLC;Planevo project;
POCI 2010	POCI 2010;
pole de competitivite Cancer-Bio-Sante from Midi Pyrenees France	pole de competitivite Cancer-Bio-Sante from Midi Pyrenees France;
Polish Government	Polish Government;
Polish Ministry of Science	Polish Ministry of Science and Higher Education;Polish Ministry of Science and High Education;Polish Ministry of Science;
Polish Ministry of Scientific Research and Information Technology	Polish National Centre for Research and Development project;Polish Ministry of Scientific Research and Information Technology;
Polish National Centre of Science	Polish National Centre of Science;
Polish National Ministry for Science & Higher Education	Polish National Ministry for Science & Higher Education;
Polish National Science Center	Polish National Science Centre;Polish National Science Center;
Polish Science Centre	Polish Science Centre;
Polish Scientific Committee	Polish Scientific Committee;
Polish-Norwegian Financial Mechanism Small Grant Scheme	Polish-Norwegian Financial Mechanism Small Grant Scheme;
Polish-Norwegian Research Programme	Polish-Norwegian Research Programme;
Polytechnic Institute of Leiria  Portugal	Polytechnic Institute of Leiria  Portugal;
PolyU	PolyU;
PON MALET	PON MALET;
EU under POR Calabria FESR within the PIA of DLVSYSTEM	Regione Calabria program POR Calabria FESK;EU under POR Calabria FESR within the PIA of DLVSYSTEM;
Port Authority of Ferrol  Spain	Portuguese Foundation for Science and Technology;Port Authority of Ferrol  Spain;
Portuguese Fulbright Commission	Portuguese Fulbright Commission;
Portuguese Fundacao para a Ciencia e a Tecnologia	Portuguese Fundacao para a Ciencia e a Tecnologia;
Portuguese Government	Portuguese Government;
Portuguese National Science Foundation	Portuguese National Science Foundation;
Portuguese Science and Technology Foundation	Portuguese Science and Technology Foundation;
POSC	POSC;
POSDRU Romania	POSI;POSDRU Romania;
Post Doctor National Grand Fundamental Project of China	Post Doctor National Grand Fundamental Project of China;
Postdoctoral Science Foundation of China	Postdoctoral Science Foundation of China;
postgraduate scholarship grant from the Australian Research Council	postgraduate scholarship grant from the Australian Research Council;
Postgraduate School of Southwest University	Postgraduate School of Southwest University;
PQ 2F/CNPq	PQ 2F/CNPq;
Pratt Water Group	Pratt Water Group;
Premier Scholarship Department of Mechanical Engineering University of Canterbury  UC  New Zealand	Premier Scholarship Department of Mechanical Engineering University of Canterbury  UC  New Zealand;
Premier Scholarship in Department of Mechanical Engineering at University of Canterbury  UC  Christchurch New Zealand	President Funding of the Chinese Academy of Sciences;Premier Scholarship in Department of Mechanical Engineering at University of Canterbury  UC  Christchurch New Zealand;
Prevention of and Fight against Crime Programme of the European Union	Prevention of and Fight against Crime Programme of the European Union;
Italian PRIN project on  Con- straints and preferences as a unifying formalism for system analysis and solution of real-life problems	MiUR Italy  PRIN project  Integrated Approaches to Discrete and Nonlinear Optimization;Italian PRIN project on  Con- straints and preferences as a unifying formalism for system analysis and solution of real-life problems;Italian Ministry of Education and Research under Italian National PRIN Programme;Italian Ministry for University Scientific Research and Technology  PRIN;
PRIN'06	PRIN'06;
Project PRISMA  PiattafoRme cloud Interoperabili per SMArt-government  - Italian Program for Research and Innovation  Programma Operativo Nazionale Ricerca e Competitivita	Project PRISMA  PiattafoRme cloud Interoperabili per SMArt-government  - Italian Program for Research and Innovation  Programma Operativo Nazionale Ricerca e Competitivita;
PRODEP	PRODEP;
Progetto di Ateneo on  Computational Integer Programming  of the University of Padova	Progetto di Ateneo on  Computational Integer Programming  of the University of Padova;
Program  Research Foundation of Tomsk State University	Program for New Century Excellent Talents in University China;program for New Century Excellent Talents in University;Program for Changjiang Scholars and Innovative Research Team in University;Program  Research Foundation of Tomsk State University;
Program for Science and Technology Innovative Research Team in Higher Educational Institutions of Hunan Province	Program for the  Bingwei  Excellent Talents from the Institute of Geographic Sciences and Natural Resources Research Chinese Academy of Sciences;Program for Science and Technology Innovative Research Team in Higher Educational Institutions of Hunan Province;
Program of Excellent Young Teachers in Southeast University	program of Renewable Energy Research - Natural Sciences and Engineering Research Council of Canada;Program of Excellent Young Teachers in Southeast University;
project  Development of a geospatial database for the exploitation of the energy resource along the Galician Coast  - Barrie de la Maza Foundation	project  Development of a geospatial database for the exploitation of the energy resource along the Galician Coast  - Barrie de la Maza Foundation;
project Cognilego	project Cognilego;
Project Doctoral and Postdoctoral programs support for increased competitiveness in Exact Sciences research	Project Doctoral and Postdoctoral programs support for increased competitiveness in Exact Sciences research;
project DRIHM-Distributed Research Infrastructure for Hydro-Meteorology	project DRIHM-Distributed Research Infrastructure for Hydro-Meteorology;
project E-Fast GA	project E-Fast GA;
project Handling Uncertainty in Data Intensive Applications	project Handling Uncertainty in Data Intensive Applications;
Project HealthDesign a national program of the Robert Wood Johnson Foundation's Pioneer Portfolio	Project HealthDesign a national program of the Robert Wood Johnson Foundation's Pioneer Portfolio;
project Intrade	project Intrade;
project MODEX-Physically-based modelling of extreme hydrologic response under a probabilistic approach	project MODEX-Physically-based modelling of extreme hydrologic response under a probabilistic approach;
project NaturNet-Redime	project NaturNet-Redime;
Project of National Natural Science Foundation of China	Project of National Natural Science Foundation of China;
project of Xi'an Science and Technology fund  Technology Research of Urban Intelligent Transportation System Based on big data	project of Xi'an Science and Technology fund  Technology Research of Urban Intelligent Transportation System Based on big data;
project Sociedades Humano-Agente en entornos Cloud Computing  Soha+C	project TR;project Sociedades Humano-Agente en entornos Cloud Computing  Soha+C;
Prolec-IIE	Prolec-IIE;
PROMEP Program of SEP	PROMEP Program of SEP;PROMEP;
PROMETEU grant	PROMETEU grant;
ProVention Consortium of the World Bank	ProVention Consortium of the World Bank;
Process Science & Technology Center  PSTC  at the University of Texas at Austin	Process Science & Technology Center  PSTC  at the University of Texas at Austin;
PTDC	PTDC;
Public Services Department of Malaysian Government	Public Services Department of Malaysian Government;
Pontificia Universidad Catolica del Peru  PUCP  PhD in Engineering Department	Pontificia Universidad Catolica del Peru  PUCP  PhD in Engineering Department;
PUCPR  Pontifical Catholic University of Parana - Brazil	PUCPR  Pontifical Catholic University of Parana - Brazil;
Pudong New District	Pudong New District;
National Iranian Oil Company and Petroleum University of Technology  PUT	Petroleum University of Technology  PUT;National Iranian Oil Company and Petroleum University of Technology  PUT;
Pythagoras grant	Pythagoras grant;
Qatar Telecom  Qtel  Doha Qatar	Qatar Telecom  Qtel  Doha Qatar;
Q-Free Traffic Design Ltd  Slovenia	Q-Free Traffic Design Ltd  Slovenia;
Qing Lan Project of Jiangsu Province	Qing Lan Project of Jiangsu Province;
Qatar National Research Fund  QNRF  under its NPRP Grant	Qatar National Research Fund  QNRF  under its NPRP Grant;
Qualcomm Foundation	Qualcomm Foundation;
Qualcomm Innovation Fellowship	Qualcomm Innovation Fellowship;
Quanser Consulting Inc	Quanser Consulting Inc;
Queensland Department of Transport and Main Roads	Queensland Department of Transport and Main Roads;
Queensland government	Queensland government;
Quaid-e-Awam University of Engineering Science & Technology  QUEST  Nawabshah Pakistan	Quaid-e-Awam University of Engineering Science & Technology  QUEST  Nawabshah Pakistan;
Welsh Government Ser Cymru QUOTIENT project	Welsh Government Ser Cymru QUOTIENT project;
Queensland University of Technology  QUT  Brisbane Australia as part of the project Games Without Frontiers	Queensland University of Technology  QUT  Brisbane Australia as part of the project Games Without Frontiers;
National High-tech R&D Program from the Ministry of Science and Technology  MST  of the People's Republic of China	Spanish R&D projects funding program;Spanish R&D Nat  Plan  MINECO;Spanish Ministry of Economy and Competitiveness under the R&D project CALISTA;R&D Special Fund for Public Welfare Industry  meteorology;R&D in Priority Areas of Russia's Science and Technological Complex Development;R&D Department and School of Computer and Communication Engineering of Universiti Malaysia Perlis Malaysia;National Key Technology R&D Program Projects;National Key Technology R&D Program of China;National Key Technology R&D Program in China;National High-tech R&D Program of china;National High-tech R&D Program from the Ministry of Science and Technology  MST  of the People's Republic of China;MEDai Inc  an Elsevier Company R&D team in Orlando Florida USA;
Galician Network of Drugs R+D REGID  Xunta de Galicia	Spanish National Plan of R+D;Galician Network of Drugs R+D REGID  Xunta de Galicia;
Radar Networks Inc	Radar Networks Inc;
Raising Program of Major Project of Sun Yat-sen University	Raising Program of Major Project of Sun Yat-sen University;
RAMAN lab fraternity	RAMAN lab fraternity;
Ramon Llull University	Ramon Llull University;
Ramon y Cajal Program	Ramon y Cajal program of the Spanish Ministry of Science and Innovation;Ramon y Cajal Program;
Icelandic Centre for Research  RANNIS	RANNIS;Icelandic Centre for Research  RANNIS;
Ratchadapiseksompoj Funds Chulalongkorn University	Ratchadapiseksompoj Funds Chulalongkorn University;
Rathman  Kadifa  Fund	Rathman  Kadifa  Fund;
RCUK	RCUK;
U S  Army Research Development and Engineering Command  RDECOM	U S  Army Research Development and Engineering Command  RDECOM;
Recognition of the company Red de Energia del Peru	Recognition of the company Red de Energia del Peru;
Region of Lazio	Region of Lazio;
Region Rhone-Alpes	Region Rhone-Alpes;
Region Wallonne	Region Wallonne;
Regional Government of Andalucia	Regional Government of Andalucia;
Regional Government of Castilla-La Mancha	Regional Government of Castilla-La Mancha;
Regional Government of Xunta de Galicia	Regional Government of Xunta de Galicia;
Regional Government Xunta de Galicia	Regional Government Xunta de Galicia;
Regional Innovation Strategy Support Program of the Lake Biwa Environmental Industry Development Area	Regional Innovation Strategy Support Program of the Lake Biwa Environmental Industry Development Area;
Regional Materials Science and Technology Centre-Structural Funds and from the state budget of the Czech Republic	Regional Materials Science and Technology Centre-Structural Funds and from the state budget of the Czech Republic;
Regional Ministry of the Principality of Asturias	Regional Ministry of the Principality of Asturias;
Regione Calabria	Regione Calabria;
Regione Lombardia ICT-Metadristretti Action	Regione Lombardia ICT-Metadristretti Action;
Regione Piemonte	Regione Piemonte;
Regroupement Strategique en Microsystemes du Quebec  ReSMiQ	Regroupement Strategique en Microsystemes du Quebec ReSMiQ;Regroupement Strategique en Microsystemes du Quebec  ReSMiQ;
Remcom Inc	Remcom Inc;
charity REMEDI	Republic of China National Science Council;REMEDI;charity REMEDI;
Republic of Slovenia Ministry of Education Science and Sport	Republic of Slovenia Ministry of Education Science and Sport;
Republicof Bulgaria	Republicof Bulgaria;
Research & Development Operational Programme	Research & Development Operational Programme;
Research Acculturation Grant Scheme Ministry of Education	Research Acculturation Grant Scheme Ministry of Education;
Research Affairs of Najafabad Branch Islamic Azad University Iran	Research Affairs of Najafabad Branch Islamic Azad University Iran;
Research Affairs of Univ  of Tabriz	Research Affairs of Univ  of Tabriz;
research and development council of the county Sodra Alvsborg	research and development council of the county Sodra Alvsborg;
Research and Technology Innovation Fund	Research and Technology Innovation Fund;
Research Award of Ministry of Education of the People's Republic of China	Research Award of Ministry of Education of the People's Republic of China;
Research Center of Metallurgical Testing and Equipment Engineering Technology	Research Center of Metallurgical Testing and Equipment Engineering Technology;
Research Center of the Female Scientific and Medical Colleges Deanship of Scientific Research King Saud University	Research Center of the Female Scientific and Medical Colleges Deanship of Scientific Research King Saud University;
Research Challenge Program	Research Challenge Program;
Research Committee of the Hong Kong Polytechnic University	Research Committee of the Hong Kong Polytechnic University;
Research Council of Norway	Research Equipment Development Program of the Chinese Academy of Sciences;Research Council of Norway;
Research Foundation - Flanders	Research Foundation - Flanders;
Research Foundation Flanders	Research Foundation Flanders;
Research Foundation of Ege University	Research Foundation of Ege University;
Research Foundation of Gaziantep Univesity	Research Foundation-Flanders;Research Foundation of Gaziantep Univesity;
Research Funds of Renmin University of China	Research Funds of Renmin University of China;
Research Grant Council of the Hong Kong Special Administration Region China	Research Grant Council of the Hong Kong Special Administration Region China;
Research Grant Council of the Hong Kong Special Administrative Region	Research Grant Council of the Hong Kong Special Administrative Region China;Research Grant Council of the Hong Kong Special Administrative Region;
research grant from the Israeli Cancer Association	research grant from the Israeli Cancer Association;
research grant fund in Inje University	research grant fund in Inje University;
Research Grants Council	Research Grants Council of the Hong Kong Special Administrative Region China;Research Grants Council of Hong Kong under the General Research Fund;Research Grants Council of Hong Kong;Research Grants Council;
Research Institute at King Fahd University of Petroleum and Minerals Saudi Arabia	Research Institute at King Fahd University of Petroleum and Minerals Saudi Arabia;
Research Institute of Electrical Communication Tohoku University	Research Institute of Electrical Communication Tohoku University;
research Junta de Castilla-La Mancha	research Junta de Castilla-La Mancha;
Research Office at the University of Tabriz	Research Office at the University of Tabriz;
Research Office of The Hong Kong Polytechnic University	Research Office of The Hong Kong Polytechnic University Hong Kong;Research Office of The Hong Kong Polytechnic University;
Research on technology functions in a process of Art work creation and production  Cultural Ministry of Czech Republic	Research on technology functions in a process of Art work creation and production  Cultural Ministry of Czech Republic;
Research Program of Hebei Educational Committee	Research Program of Hebei Educational Committee;
research project  Uncertainty propagation in the hydrological and water management applications for mitigation of drought on the open water reservoir	research project  Uncertainty propagation in the hydrological and water management applications for mitigation of drought on the open water reservoir;
Research Project of Science and Technology	REUNI;Research Project of Science and Technology;
Reuniwatt Company	Reuniwatt Company;
European Community's Research Fund for Coal and Steel  REVS	European Community's Research Fund for Coal and Steel  REVS;
Reykjavik University Iceland	Reykjavik University Iceland;
RFBR	RFBR;
European Union's Research Fund for Coal and Steel  RFCS  Research Programme	RFCS research project 'IRSIS';RFCS program;European Union's Research Fund for Coal and Steel  RFCS  Research Programme;EU RFCS research project IRSIS;
Regionalt Forskningsfond  RFF  Midt-Norge	Regionalt Forskningsfond  RFF  Midt-Norge;
RGC Competitive Earmarked Research Grant	RGC Competitive Earmarked Research Grant;RGC;
Rgion Nord/Pas-de-Calais	Rgion Nord/Pas-de-Calais;
Rhode Island Community Development Block Grant from the US Department of Housing and Urban Development	Rhode Island Community Development Block Grant from the US Department of Housing and Urban Development;
Rhone-Alpes Region	Rhone-Alpes Region;
Richard Benjamin Trust	Richard Benjamin Trust;
University of Teesside under the RIF initiative	Riga Technical University;University of Teesside under the RIF initiative;
RITFIM	RITFIM;
United Nations Global Pulse Rapid Impact and Vulnerability Analysis Fund  RIVAF	United Nations Global Pulse Rapid Impact and Vulnerability Analysis Fund  RIVAF;
RIVUPH	RIVUPH;
Research Management Institute  RMI  UiTM Shah Alam	Research Management Institute  RMI  UiTM Shah Alam;Research Management Institute  RMI  of UiTM;Research Management Institute  RMI;
Robert Bosch Stiftung Stuttgart Germany	Robert Bosch Stiftung Stuttgart Germany;
Robert Wood Johnson Foundation Clinical Scholars Program	Robert Wood Johnson Foundation Clinical Scholars Program;
Roberto Rocca Foundation	Roberto Rocca Foundation;
RoboSoM EU project	RoboSoM EU project;
Water Resources Planning Institute Water Resources Agency Taiwan ROC	Water Resources Planning Institute Water Resources Agency Taiwan ROC;Republic of China  ROC  National Science Council;National Science Council Taiwan ROC;National Science Council Taiwan  ROC;National Science Council Taiwan ROC;
Rocket Boiler Co  Ltd  Japan	Rocket Boiler Co  Ltd  Japan;
Rolls-Royce	Romanian Government;Rolls-Royce;
Romanian Ministry of Education and Research	Romanian Ministry of Education and Research;
Romanian Ministry of Scientific Research and Technology	Romanian National Authority for Scientific Research;Romanian Ministry of Scientific Research and Technology;
ROMEO project  Ile de France district Paris city	ROMEO project  Ile de France district Paris city;ROMEO project  DGCIS;
Ros Roca Group	Ros Roca Group;
Rose Hills Foundation	Rose Hills Foundation;
Royal Academy of Engineering	Royal Academy of Engineering;
Royal Society	Royal Society University;Royal Society of New Zealand;Royal Society;
Research Partnership to Secure Energy for America  RPSEA	Research Partnership to Secure Energy for America  RPSEA;
European Commission Directorate General for Research within the 7th Framework Programme of RTD Theme 2 Biotechnology Agriculture and Food Project	European Commission Directorate General for Research within the 7th Framework Programme of RTD Theme 2 Biotechnology Agriculture and Food Project;
RTI International DEcIDE  Developing Evidence to Inform Decisions about Effectiveness  Center	RUGS;RTI International DEcIDE  Developing Evidence to Inform Decisions about Effectiveness  Center;
Russian Basic Research Fund	Russian Basic Research Fund;
Russian Fond for Basic Research	Russian Fond for Basic Research;
Russian Foundation for Basic Research	Russian Foundation for Basic Research;
Russian Fund of Basic Research	Russian Fund of Basic Research;
Russian government	Russian government;
Russian Leading Scientific School	Russian Leading Scientific School;
Russian Science Foundation	Russian Science Foundation;
Russian Scientific Foundation	Russian Scientific Foundation;
S D G	S D G;
International S&T Cooperation Program of China  ISTCP	International S&T Cooperation Program of China  ISTCP;
SAIA	SAIA;
Saint-Petersburg Government	Saint-Petersburg Government;
Salman Bin Abdulaziz University via the Deanship for Scientific Research International partnership Programme	Salman Bin Abdulaziz University via the Deanship for Scientific Research International partnership Programme;
San Antonio Life Science Institute  SALSI	San Antonio Life Science Institute  SALSI;
Samsung	Samsung Research Funding Center of Samsung Electronics;Samsung Electronics Software RD Center;Samsung;
Pays de la Loire and Poitou-Charentes Regional Council under SANCRE	Pays de la Loire and Poitou-Charentes Regional Council under SANCRE;
SANG	Sao Paulo Research Foundation;SANG;
Sao Paulo Research Foundation-FAPESP	Sao Paulo Research Foundation-FAPESP;
Sapienza Universita di Roma	Research Grant Council of The Government of the Hong Kong SAR;Early Career Scheme of the Research Grants Council of Hong Kong SAR China;Sapienza Universita di Roma;
Saudi Aramco	Saudi Aramco;
SBO grant  InSPECtor  of the Flemish agency for Innovation by Science and Technology  IWT	SBO grant  InSPECtor  of the Flemish agency for Innovation by Science and Technology  IWT;
School of Computer Science Reykjavik University	School of Computer Science Reykjavik University;
School of Electrical and Electronic Engineering at The University of Adelaide	School of Electrical and Electronic Engineering at The University of Adelaide;
School of Electronics & Computer Scienceton	School of Electronics & Computer Scienceton;
School of Film and Television Art Technology of Shanghai University	School of Film and Television Art Technology of Shanghai University;
School of Graduate Studies	School of Graduate Studies;
School of Information Technology and Electrical Engineering University of Queensland	School of Information Technology and Electrical Engineering University of Queensland;
School of Mechanical Engineering the Shenyang University of Technology	School of Mechanical Engineering the Shenyang University of Technology;
Science & Technology Park for Tourism and Leisure	Science & Technology Park for Tourism and Leisure;
Science and Technology Department Foundation of Shanghai Science and Technology Committee	Science and Technology Department Foundation of Shanghai Science and Technology Committee;
Science and Technology Development Project of Harbin Science and Technology Bureau	Science and Technology Development Project of Harbin Science and Technology Bureau;
Science and Technology Development Project of Heilongjiang Provincial Education Bureau	Science and Technology Development Project of Heilongjiang Provincial Education Bureau;
Science and Technology Planning Project of Ministry of Housing	Science and Technology Planning Project of Ministry of Housing;
Science Foundation Ireland	Science Foundation Ireland;
Science Fund of Hebei University of Science and Technology	Science Fund of Hebei University of Science and Technology;
Science Fund of Malaysian Ministry of Science Technology and Innovation	Science Fund of Malaysian Ministry of Science Technology and Innovation;
Science Research Project from Guangxi Vocational Technical Institute of Industry	Science Research Project from Guangxi Vocational Technical Institute of Industry;
Scientific and technological projects in Sichuan Province	Scientific and technological projects in Sichuan Province;
Scientific Project of Education Department of Hunan province	scientific research;Scientific Project of Education Department of Hunan province;
Scientific Research Fund of Guangxi Zhuang Autonomous Region's Education Department of China	Scientific Research Fund of Guangxi Zhuang Autonomous Region's Education Department of China;
Scientific Research Fund of Yunnan Education Department	Scientific Research Fund of Yunnan Education Department;
Scientific Research Project of Selcuk University	Scientific Research Project of Selcuk University;
Scientific Research Project Office of Selcuk University Turkey	Scientific Research Project Office of Selcuk University Turkey;
Scientific Research Project Unit of University of Gaziantep	Scientific Research Project Unit of University of Gaziantep;
Scientific Research Projects Department of Erciyes University	Scientific Research Projects Department of Erciyes University;
Scientific Research Projects Fund of Uludag University	Scientific Research Projects Fund of Uludag University;
Scientific Research Projects of Selcuk University	Scientific Research Projects of Selcuk University;
Scientific Research Starting Foundation of Southeast University	Scientific Research Starting Foundation of Southeast University;
Scottish Informatics and Computer Science Alliance studentship	Scottish Informatics and Computer Science Alliance studentship;
ScottishPower Energy Networks	ScottishPower Energy Networks;
Singapore-Delft Water Alliance  SDWA	Singapore-Delft Water Alliance  SDWA;
SDWA's Multi-objective Multiple Reservoir Management research program	SDWA's Multi-objective Multiple Reservoir Management research program;
SEAM4US project  Sustainable Energy Management for Underground Stations	SEAM4US project  Sustainable Energy Management for Underground Stations;
Seattle Genetics	Seattle Genetics;
Secondary & Informal Education	Secondary & Informal Education;
Secretaria General de Ciencia y Tecnologia - Universidad Nacional del Sur	Secretaria General de Ciencia y Tecnologia - Universidad Nacional del Sur;
Secretaria Relaciones Exteriores of Mexico	Secretaria Relaciones Exteriores of Mexico;
Sectoral Operational Programme for Human Resources Development	Sectoral Operational Programme for Human Resources Development;
Sectoral Operational Programme Human Resources Development of the Ministry of European Funds	Sectoral Operational Programme Human Resources Development of the Ministry of European Funds;
Mexican Ministry of Environment  SEDEMA	Mexican Ministry of Environment  SEDEMA;
Spanish Ministry of Education and Science  SEDUREC CONSILDER	Spanish Ministry of Education and Science  SEDUREC CONSILDER;
project SEGUR@	Selcuk University;Science Foundation Ireland  SEI;project SEGUR@;
Selcuk University Scientific Research Projects	Selcuk University Scientific Research Projects;
Selcuk University Unit of Scientific Research Projects Coordination	Selcuk University Unit of Scientific Research Projects Coordination;
Selcuk University's Scientific Research Projects	Selcuk University's Scientific Research Projects;
SELEX Galileo  UK	SELEX Galileo  UK;
Semiconductor Research & Development Center Hopewell Junction	Seneca Research Foundation of the Region of Murcia;National Secretary of Science and Technology  SENACYT  of the government of the Republic of Panama;Semiconductor Research & Development Center Hopewell Junction;
Prometeo Project of the Ministry of Higher Education Science Technology and Innovation  SENESCYT  of the Republic of Ecuador	Secretaria de Educacion Superior Ciencia Tecnologia e Innovacion  SENESCYT;Prometeo Project of the Ministry of Higher Education Science Technology and Innovation  SENESCYT  of the Republic of Ecuador;
Public Education Secretary  SEP  through PROMEP	Public Education Secretary  SEP  through PROMEP;
Serbian Ministry of Education and Science	Serbian Ministry of Education and Science;
Serbian Ministry of Science	SERC Division Department of Science and Technology Government of India;Serbian Ministry of Science;
Sero/UGC	Sero/UGC;
Service Outsourcing Foundation of Suzhou Institute Park Service Outsourcing Institute	Transnational Access to Research Infrastructures within the European project SFERA II under the 7th Framework Program;Service Outsourcing Foundation of Suzhou Institute Park Service Outsourcing Institute;
Science Foundation of Ireland  SFI	SFI PI;Science Foundation of Ireland  SFI;Science Foundation Ireland  SFI;
South Florida Water Management District  SFWMD	South Florida Water Management District  SFWMD;
SGS project from Technical University of Liberec	SGS project from Technical University of Liberec;
Shahrekord University	Shahrekord University;
Shandong academy of sciences the guide of science and technology	Shandong academy of sciences the guide of science and technology;
Shandong Natural Science Foundation	Shandong Natural Science Foundation;
Shanghai Key Laboratory of Financial Information Technology  Shanghai University of Finance and Economics	Shanghai Key Laboratory of Financial Information Technology  Shanghai University of Finance and Economics;
Shanghai Machine Tool Work Company of PR China	Shanghai Municipal Education Commission;Shanghai Machine Tool Work Company of PR China;
Shanghai Natural Science Foundation	Shanghai Natural Science Foundation;
Shanghai Pujiang Program	Shanghai Pujiang Program;
Shanghai Science Techology Committee	Shanghai Science Techology Committee;
Shanghai University Material Genetic Engineering Institute	Shanghai University Material Genetic Engineering Institute;
Shantou University Scientific Research Fund	Shantou University Scientific Research Fund;
Shenzhen Science and Technology Innovation Commission Project Grant	Shenzhen Science and Technology Innovation Commission Project Grant;
Shiraz University	Shiraz University;
SHOM	SHOM;
Sichuan university	SIMAT;Siemens;Sichuan university;
European Community of the SIMILAR Network of Excellence	European Community of the SIMILAR Network of Excellence;
Simon Fraser University	Simon Fraser University;
Singapore Ministry of Education Academic Research Fund	Singapore Ministry of Education Academic Research Fund;
Singapore Ministry of Education's Academic Research Fund	Singapore Ministry of Education's Academic Research Fund Tier 2 Grant;Singapore Ministry of Education's Academic Research Fund;
Singapore National Research Foundation under International Research Centre @ Singapore Funding Initiative	Singapore National Research Foundation under International Research Centre @ Singapore Funding Initiative;
Singularity Institute	Singularity Institute;
SIRIS	SIRIS;
Sloan Research Fellowship	Sloan Research Fellowship;
Slovak Grant Agency of the Ministry of Education	Slovak Grant Agency of the Ministry of Education;
Slovene	Slovenian Research Agency;Slovene;
Smart Engineering Research Group	Smart Engineering Research Group University Kebangsaan Malaysia;Smart Engineering Research Group;
Smart Engineering System and Water and Environmental Research Group University Kebangsaan Malaysia	Smart Engineering System and Water and Environmental Research Group University Kebangsaan Malaysia;
Smart Engineering Systems University Kebangsaan Malaysia	Smart-Products European project;Smart Engineering Systems University Kebangsaan Malaysia;
EC under IP SME programme	EC under IP SME programme;
Sociedad Mexicana de Inteligencia Artificial  SMIA	Sociedad Mexicana de Inteligencia Artificial  SMIA;
Secretaria del Metro de Panama  SMP	Secretaria del Metro de Panama  SMP;
SNF project  Convergence versus Divergence? Text-as-data and Network Analysis of International Economic Law Treaties and Tribunals	SNF project  Convergence versus Divergence? Text-as-data and Network Analysis of International Economic Law Treaties and Tribunals;
SNI-CONACyT  SNI	SNI-CONACyT  SNI;SNI;
SNIS project  Diffusion of International Law  A Textual Analysis of International Investment Agreements	SNIS project  Diffusion of International Law  A Textual Analysis of International Investment Agreements;
Swiss National Science Foundation  SNSF	Swiss National Science Foundation  SNSF;
Canadian Space Agency under the Science and Operational Applications Research  SOAR  program	Canadian Space Agency under the Science and Operational Applications Research  SOAR  program;
Soar Technologies	Soar Technologies;
Social Science Project from Harbin Normal University	Social Science Project from Harbin Normal University;
Social Sciences and Humanities Research Council of Canada	Social Sciences and Humanities Research Council of Canada;
Society for Analytical Chemists of Pittsburgh	Society for Analytical Chemists of Pittsburgh;
University of North Dakota SOFA	University of North Dakota SOFA;
Sogang University	Sogang University Research 2004;Sogang University Research;Sogang University;
Soongsil University Research	Soongsil University Research;
SORSAS scheme	South African Research Chair Initiative of the Department of Science and Technology;SORSAS scheme;
SP Energy Networks	Space and Naval Warfare Systems Center Pacific;SP Energy Networks;
Spain-FEDER	Spain-FEDER;
Spains	Spain's Ministerio de Educacion y Ciencia;Spains;
Spain's Ministry of Science and Innovation  Ministerio de Ciencia e Innovacion	Spain's Ministry of Science and Innovation  Ministerio de Ciencia e Innovacion;
Spanish  Ministerio de Ciencia e Innovacion''	Spanish  Ministerio de Ciencia e Innovacion'';
Spanish  Ministerio de Educacion	Spanish  Ministerio de Educacion;
Spanish <it>Plan Nacional de Investigacion Cientyfica Desarrollo e Innovacion Tecnologica</it>	Spanish <it>Plan Nacional de Investigacion Cientyfica Desarrollo e Innovacion Tecnologica</it>;
Spanish Agency of State Ports  Puertos del Estado	Spanish Agency of State Ports  Puertos del Estado;
Spanish BabeLData  Multilinguismo en Ontologias y Linked Data project	Spanish BabeLData  Multilinguismo en Ontologias y Linked Data project;
Spanish Council for Science and Innovation	Spanish Government;Spanish Gov;Spanish Council for Science and Innovation;
Spanish government as one of the research centers belonging to the Spanish National Research Council	Spanish government as one of the research centers belonging to the Spanish National Research Council;
Spanish Government of Ministerio de Economia y Competitividad	Spanish Government of Ministerio de Economia y Competitividad;
Spanish Government project Cognitio	Spanish Government project Cognitio;
Spanish JCyL	Spanish Ministerio de Economia y Competitividad;Spanish Ministerio de Ciencia e Innovacion;Spanish JCyL;
Spanish Ministerio de Economia y Competitividad/FEDER	Spanish Ministerio de Economia y Competitividad/FEDER;
Spanish 'Ministerio de Educacion'	Spanish Ministerio de Educacion y Ciencia;Spanish 'Ministerio de Educacion';
Spanish Ministry for Economy and Competitiveness	Spanish Ministry for Economy and Competitiveness;
Spanish Ministry for Industry Tourism and Commerce	Spanish Ministry for Industry Tourism and Commerce;
Spanish Ministry of Economia y Competitividad	Spanish Ministry of Education;Spanish Ministry of Economy and Competitiveness;Spanish Ministry of Economia y Competitividad;
Spanish Ministry of Education and Culture	Spanish Ministry of Science;Spanish Ministry of Industry Tourism and Commerce;Spanish Ministry of Industry Tourism;Spanish Ministry of Industry;Spanish Ministry of Education Culture and Sport;Spanish Ministry of Education and Sciences;Spanish Ministry of Education and Science  Ministerio de Educacion y Ciencia;Spanish Ministry of Education and Science;Spanish Ministry of Education and Culture;
Spanish Ministry of Science and Education	Spanish Ministry of Science and Education;
Spanish Ministry of Science and Information Technology	Spanish Ministry of Science and Innovation;Spanish Ministry of Science and Information Technology;
Spanish Ministry of Science and Technology	Spanish Ministry of Science and Technology;
